iter	Passed	Remaining
0	24	24626
1	49	24464
2	72	24090
3	94	23599
4	117	23378
5	139	23189
6	164	23396
7	186	23108
8	212	23371
9	236	23383
10	259	23301
11	282	23245
12	304	23142
13	328	23119
14	349	22970
15	371	22828
16	394	22825
17	418	22831
18	442	22856
19	466	22878
20	491	22906
21	513	22838
22	535	22745
23	559	22748
24	582	22733
25	604	22630
26	627	22601
27	648	22518
28	672	22518
29	695	22499
30	718	22468
31	741	22420
32	762	22348
33	787	22387
34	810	22343
35	833	22312
36	856	22298
37	880	22289
38	903	22256
39	927	22257
40	949	22208
41	973	22203
42	996	22188
43	1021	22198
44	1043	22141
45	1065	22099
46	1088	22070
47	1111	22041
48	1133	21995
49	1157	21986
50	1180	21972
51	1202	21930
52	1227	21927
53	1251	21928
54	1273	21887
55	1297	21877
56	1321	21857
57	1345	21846
58	1368	21823
59	1391	21805
60	1417	21819
61	1440	21785
62	1464	21774
63	1487	21750
64	1508	21695
65	1530	21662
66	1553	21634
67	1575	21591
68	1597	21556
69	1621	21546
70	1645	21529
71	1667	21488
72	1691	21477
73	1714	21453
74	1737	21427
75	1761	21411
76	1785	21402
77	1807	21365
78	1830	21343
79	1855	21333
80	1880	21333
81	1902	21303
82	1925	21278
83	1949	21254
84	1970	21215
85	1993	21189
86	2018	21177
87	2043	21173
88	2067	21167
89	2091	21150
90	2116	21138
91	2140	21128
92	2163	21101
93	2186	21076
94	2210	21054
95	2233	21030
96	2256	21004
97	2278	20975
98	2301	20948
99	2324	20923
100	2346	20890
101	2368	20855
102	2389	20809
103	2412	20782
104	2435	20755
105	2457	20725
106	2481	20710
107	2503	20680
108	2527	20664
109	2550	20638
110	2573	20614
111	2597	20592
112	2620	20568
113	2642	20541
114	2665	20515
115	2688	20486
116	2714	20482
117	2737	20463
118	2760	20435
119	2783	20410
120	2805	20378
121	2828	20356
122	2851	20331
123	2875	20311
124	2898	20292
125	2922	20273
126	2945	20247
127	2968	20224
128	2990	20190
129	3013	20164
130	3035	20133
131	3057	20104
132	3081	20086
133	3103	20058
134	3126	20034
135	3150	20014
136	3173	19989
137	3196	19966
138	3221	19954
139	3244	19927
140	3266	19898
141	3288	19872
142	3311	19848
143	3333	19816
144	3356	19790
145	3379	19767
146	3401	19738
147	3425	19717
148	3448	19698
